id,comment,label
0,不错很满意的教学,2
1,需要什么预科基础么，为什么上来就 GDB ==,0
2,窗口缩小之后找不到，有人遇到类似问题吗？,0
3,太高端了。就是感觉有些麻烦，课程的笔记很难复制过来。没法截图。。。我不会截图吧。。,-1
4,你的答案是可以过的啊，提示的是格式错误？,0
5,关于进程组残留问题：   > 如果有一个子进程被创建会自动加入父进程的进程组中？init作为祖先进程，是否为该进程组领导者，为什么不是只有一个进程组？   > 进程组中的领导者进程可随时结束，进程组继续以此PGID存在；如果领导者再次以一个进程组的领导者出现，是否会有两个相同PGID的进程组存在呢？,0
6,主要搭建环境有难度，这里做的挺好,2
7,玩转函数为什么总提示没有考虑到负数的情况？？？,0
8,出现黑屏现象很郁闷,-1
9,javascrpt 教程我觉得很不错,2
10,控件的使用解释的很详细，很适合基础不太好的同学学习。,2
11,挺不错的，微笑脸,2
12,真的很卡，eclipse根本打不开,-1
13,argparse库和PIL库不太会用。,-1
14,实验环境无法进行输入，可能是网络原因吧，或者其他问题,0
15,谁解释一下评分是怎么给的？为什么要限制少于100字不能提交实验报告？HELLO， WORLD一个大一都已经会的程序，ubuntu也不是没用过，。就是不太熟练，I need know why ?,0
16,你可以再按照题目的要求试一次，或者带上代码去讨论区提问一下吧,0
17,如果你是ubuntu系统可以仍然按照课程文档里面的wget命令下载，我就这么干的。windows我就不知道了。,-1
18,第一次使用，效果不太好,-1
19,vim学了好久，还是有点搞不懂是干嘛的,-1
20,挺好的，1小时学了几条基本操作，感觉比自己找书看要快,2
21,不错，蛮有用的学习工具。,2
22,原来的带么有问题，下面是我自己的发掘的过程，希望能帮到大家~,1
23,内容过少而浅，不值这个价格。,-1
24,是这个Docer容器跑起来太慢了么，还是我这里网速不好。。。感觉反应好慢。。。。,-1
25,公司网络太卡，搞不定,-1
26,linux桌面环境，没啥,1
27,学习了 Linux 文件权限，和文件操作。,1
28,编号生成的.C文件，在这个虚拟桌面上怎么运行啊(⊙﹏⊙)b,1
29,很不错。这个用法是很棒的,2
30,真的不想说什么，Vim有问题不知道改善一下么,-1
31,点击右下角的语言选项，可以切换到中文,1
32,很不错，例子都很有代表性！,2
33,学习请踏实一些，评论前请多思考一些。相信你如果认真对比过课程，或者看到课程的作者就是博主本人，就不会说出这种评论。,-1
34,第一次保存实验环境，真激动,1
35,初识Linux系统，不错,2
36,终于完成了本周挑战。明天白天抽时间 复习复习复习 再复习,1
37,在实验楼里创建个新用户再创建文件，提示没有权限怎么解决,1
38,实验楼体验不错,2
39,现在还没开课，直接发邮件给 support@shiyanlou.com on说明下就可以,1
40,In [2]: werobot.WeRoBot(token='tokenhere') --------------------------------------------------------------------------- AttributeError                            Traceback (most recent call last) <ipython-input-2-84e296020f03> in <module>() ----> 1 werobot.WeRoBot(token='tokenhere')  AttributeError: 'module' object has no attribute 'WeRoBot'   没有werobot.WeRoBot 这个模块啊？！,0
41,熟悉了linux运行环境和C语言编程规范,1
42,初学vim，能够只用键盘编辑文本，感觉好厉害,2
43,效学习时间 18 分钟，怎么计算的啊？,0
44,实验还算简单 。 linux 操作 github 真是挺麻烦的,1
45,图片得放在你做实验的那个桌面哦，不然无法显示的，你用linux系统下的浏览器访问百度云那个地址，然后下载解压就行咯,-1
46,有几个疑惑，望解答下，谢谢！ 有没体验课？现在若买是什么时候开课？对python基础要求高不？,0
47,有bug 无法进行下一步实验,-1
48,find / -name xxx      找到文件 ，sudo   chown  用户  xxx   更改文件   ，chmod 权限（700）xxx  文件权限设置。over,1
49,多了解一下基础环境，会多一些感触和收获。,1
50,请问是哪一步404了吗？,0
51,如果先前学过应该是可以继续学的，下线后只是新的用户无法学习啊,-1
52,为什么实验环境会卡卡的啊？,0
53,请问最后会有一个练手项目吗？要不然不好检验自己所学的成果。。。,0
54,关于挑战部分真的不懂。。这个挑战的那种格式不会。,-1
55,又不可以了 体验好差我的网络是20M的应该没啥问题,-1
56,很好的Java入门课程。,2
57,感觉挺好的，就是最近这实验楼真的卡得不要不要的，所以后来都在自己的系统里做实验了，但是这样又不算入学习时间/无奈,-1
58,对代码做了一些简化，同时加入了一些注释，看不太懂代码的童鞋可以移步一看----> https://github.com/afeideguo/python_img-char,-1
59,为什么 我自己写的在pycharm执行就是乱码，复制别人的，在pycharm执行别人的就正常显示呢，   | D313 |  鍖椾含鍗? | 19:34 | 12h07m |  --  |  *   |  *   |  --  |  --  |  *   | |      |   涓婃捣   | 07:41 |        |      |      |      |      |      |      | | D321 |  鍖椾含鍗? | 21:23 | 11h50m |  --  |  *   |  *   |  --  |  --  |  *   | |      |   涓婃捣   | 09:13 |        |      |      |      |      |      |      | +------+----------+-------+--------+------+------+------+------+------+------+,0
60,virtualenv 创建虚拟开发环境，deactivate关闭虚拟环境,1
61,生气？这么好的学习环境，请知足,0
62,还在熟悉环境阶段,1
63,windows环境下语音可以通但是 视频通不了,1
64,实验楼把所有虚拟机的网络都关掉了吗？ 这还怎么玩。。。,0
65,"为啥我输入printf(""I love shiyanlou!"") 之后 会多一多一个%，难道是！使用方法不对?应该怎么用？",0
66,希望能尽快完善，感觉不是很详细，都还不懂诶,-1
67,打卡——挑战：圆的面积,-1
68,很容易操作 ，讲解也不错。,2
69,环境变量那里，完全没明白，完全看不懂,-1
70,还没实验完。。。环境不好使不能联网，直接在Windows中做的,-1
71,感觉东西很浅显，很好入门。,2
72,"中间建立外键的时候，忽略了一个问题，需要先建立一列，然后，对其加 constraint\n而且和版本有问题，本来是和primary key一样直接加了关键字，后来发现，需要先写cid int（10），然后constraint tmp_cid foreign key（cid）references course(cid),",0
73,很实用的课程，通俗易懂、一目了然。,2
74,composer失败，说版本太旧，然后升级，又连不到网络，升级不了，完全卡住了,-1
75,过于简单了，这个端口扫描器可以分开讲，多一些网络基础和思路会更好。,1
76,LAMP需要配置apache、php、mysql三个环境，能不能将这三部分分开，让我们配置，毕竟，网络不好，断了五回，重新配置浪费很多时间。。。。。。。。。。。。。。。,0
77,第一次接触实验楼！很棒！希望自己能坚持下来！,2
78,为什么才算我7分钟。。。,0
79,请问哪里有邀请码来进行体验？,0
80,菜鸟小白，希望用半年时间入门,1
81,ll到底与lA有啥区别啊？,0
82,txt文件有错误,1
83,我run manage.py的时候 flask-cache cache type显示的是null,1
84,以为只要写代码的，毕竟很基础，没想到还要写报告，然后markdown也不会用又去搜语法。最后感觉实验报告也写完了应该就完了却说还有一个没完成。,0
85,很实用，学到了不少东西，下周继续学习,2
86,ssh连接实验楼，不能运行和调试内核，有人知道为什么吗？,0
87,实验桌面没有了，不太清楚原因,-1
88,模拟界面太卡了，根本用不了,-1
89,这种教程也入驻实验楼了- -。早知道我也投稿，我的blog：zhfeat.cc,1
90,每天坚持一点点啦,1
91,学不懂，里面好多命令都找不到或者运行不了,-1
92,你好，用桌面上的gedit就可以编辑，或者VIM,1
93,字符串下载不了，去哪挑战啊？？？,0
94,我并不知道这个实验应该怎么操作的,-1
95,从超文本开始，就出现了一些代码没有提到过，也不知道怎么用 举个例子那里要新建一个网站 总而言之，这个课程，如果想要零基础学了之后把每一个课程中的html写出来是很难的 但是大部分还是可以做到 就很难受,-1
96,该课程暂时无重新开放计划，后续有计划通知您，您可以先学一下实验楼其他的openstack课程 https://www.shiyanlou.com/search?search=OpenStack,0
97,Hi，我以前购买并学习了很多节课，现在不能直接进去中间的课程了？,0
98,这个好像没什么用……,-1
99,实验环境有误，提示“zsh: command not found: tree”,1
100,注册实验楼后第一个完整看完的课程，虽然很简单，但挺有意思。,2
101,有点乱而且杂，实际情况中是否真的有应用价值有待考量，学习成本有待考量,1
102,2个钟头,1
103,不错，感觉很真实。,2
104,为毛实验环境无法连接？,0
105,vi要好好学学啊,1
106,很好  就是是新手菜鸟，碰到问题就nian'le,2
107,GDB计算是正确的，但是就是卡在栈溢出。不知道如何解决,0
